worker,declaration,answer
A312KFQ78WB3A4,great!,None
A312KFQ78WB3A4,FREE SHIPPING INTERNATIONALLY!!!!!,Delivery
A34M93NJC830DP,go away,None
A312KFQ78WB3A4,To be able to select more than one option in style of clothing and colour in the specific search options,MoreFunc
A2LV5QYHH24OMY,the prices?,Price
A2QN0EGBRGJU1M,reduce the prices!,Price
A2QN0EGBRGJU1M,To expensive,Price
A2LV5QYHH24OMY,Love the site,None
A1KYGP10BH4FXU,supply more of a selection of creepers mostly get the purple ones in stock please,Range
A2LV5QYHH24OMY,Easy to navigate,Navigation
A2LV5QYHH24OMY,nothing :),None
A1KYGP10BH4FXU,GET THE SHOES IN STOCK!,Stock
A2I3Y0L38HMQLZ,Very happy with overall design.,Navigation
A2LV5QYHH24OMY,#MPFP,None
A312KFQ78WB3A4,allow more than 3 attempts to sign in because now i have to mess around on the phone for half hour trying to sort it out!!!,MoreFunc
A2LV5QYHH24OMY,great,None
A2LV5QYHH24OMY,However&#44; it would be useful if the different sub-categories would drop down when I scroll over the man names,MoreFunc
A2LV5QYHH24OMY,lower prices!!!,Price
A2LV5QYHH24OMY,i have clicked 'confirm and pay' numerous times and nothing has happened.,Latency
A2LV5QYHH24OMY,Valid Sate ..,None
A1KYGP10BH4FXU,Lower prices!,Price
A2I3Y0L38HMQLZ,The speed of the site...and how easily items can be found.,Latency|Navigation
A2LV5QYHH24OMY,i loveee everything!!,None
A2I3Y0L38HMQLZ,lado kha,None
A312KFQ78WB3A4,too expensive,Price
A1KYGP10BH4FXU,More sales,Price
A2LV5QYHH24OMY,Make delivery cheaper!!!!!,Delivery
A2LV5QYHH24OMY,There are no improvements I could suggest.,None
A2LV5QYHH24OMY,I like the simple layout&#44;,Navigation
A312KFQ78WB3A4,Hello,None
A312KFQ78WB3A4,Lower your prices,Price
A2I3Y0L38HMQLZ,FREE DELIVERY (NO MINIMUM SPEND) I'd definately by more!!,Delivery
A2I3Y0L38HMQLZ,everything is good,None
A2LV5QYHH24OMY,And make the clothes cheaper.,Price
A2LV5QYHH24OMY,The site has a great layout and is easily accessible.,Navigation
A2I3Y0L38HMQLZ,cheaper,Price
A312KFQ78WB3A4,Thanks,None
A2I3Y0L38HMQLZ,Great website!,None
A2LV5QYHH24OMY,lower the prices,Price
A1KYGP10BH4FXU,REDUCE YOUR FREAKIN PRICES!!!,Price
A2LV5QYHH24OMY,bring the delivery price down&#44; or like free delivery when you spend 30 pound,Delivery
A1KYGP10BH4FXU,lower prices.,Price
A2I3Y0L38HMQLZ,I Love your clothing,Products
A2I3Y0L38HMQLZ,Cheaper prices!!,Price
A2I3Y0L38HMQLZ,you should Cheap the  prices,Price
A2LV5QYHH24OMY,the backround is so white and boring.......,Navigation
A2I3Y0L38HMQLZ,the jeans are too expensive,Price
A2LV5QYHH24OMY,visvim,None
A2LV5QYHH24OMY,Easy to navigate.,Navigation
A2LV5QYHH24OMY,You need a 1800 number ASAP!!!!!!!!!!!!!!!!!,MoreFunc
A312KFQ78WB3A4,i cannot find a top that i liked in the shop,Products
A2I3Y0L38HMQLZ,do deliver first and than pay because when it not fit you have to waith on your money,Delivery
A2LV5QYHH24OMY,more colour to make it look attractive,Navigation
A3SWVCOJPJM7KQ,Lower prices,Price
A2LV5QYHH24OMY,SELL WHAT I WANT IN MY SIZE!!!!!!!,Size
A312KFQ78WB3A4,prices,Price
A2I3Y0L38HMQLZ,Lower prices for students would be great.,Price
A2LV5QYHH24OMY,I like the layout,Navigation
A2I3Y0L38HMQLZ,i like the organized layout of the website and that all clothing and products are shown clearly and in high detail,Images|Navigation
A2I3Y0L38HMQLZ,I haven't had a chance to use the website yet....,None
A312KFQ78WB3A4,prices,Price
A34M93NJC830DP,too slow,Latency
A2LV5QYHH24OMY,i love the petite section&#44; show outfit combinations,Range|MoreFunc
A2I3Y0L38HMQLZ,nuttin u perffect<3,None
A2I3Y0L38HMQLZ,get more clothes in stock!!!!,Stock
A312KFQ78WB3A4,prices,Price
A2LV5QYHH24OMY,loving your sites design!,Navigation
A2LV5QYHH24OMY,better pictures of clothes on models,Images
A2LV5QYHH24OMY,it's cool :-),None
A2LV5QYHH24OMY,i like your site in general its nice and helpful your search works well however&#44; the sizes are alot harder to navigate when you are not in the store to try it on how many people know their waist size they only know their size 10 12 14 16 18 20 etc make it easier for people by saying a w28 is equivalent to a size 10 etc,Size|Navigation
A2LV5QYHH24OMY,You now have stores in Australia.,None
A312KFQ78WB3A4,Really enjoy the layout and close matching of products to real life.,Navigation
A312KFQ78WB3A4,lower prices,Price
A2I3Y0L38HMQLZ,video is slow to load.,Latency
A2LV5QYHH24OMY,nothing to improve at the present time.,None
A2LV5QYHH24OMY,I don't like your site&#44; clothes are so expensive,Price
A2LV5QYHH24OMY,lower the prices,Price
A2I3Y0L38HMQLZ,i like the clothes,Products
A2LV5QYHH24OMY,It'd be great if the credit card payment process could be easier.,MoreFunc
A2LV5QYHH24OMY,Click & collect for orders,MoreFunc
A1KYGP10BH4FXU,speed,Latency
A2LV5QYHH24OMY,I think that you should offer a 'what to wear it/how to style it section' such as offered by the personal shopping,MoreFunc
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,I felt the site was very clear & easy to use.,Navigation
A2LV5QYHH24OMY,make clothes cheaper!,Price
A312KFQ78WB3A4,reduce prices,Price
A2I3Y0L38HMQLZ,free shipping option appearing!,Delivery
A2QN0EGBRGJU1M,its really good.,None
A2LV5QYHH24OMY,nothing,None
A2I3Y0L38HMQLZ,I love it!,None
A312KFQ78WB3A4,reduce prices,Price
A312KFQ78WB3A4,the site is perfect,None
A2QN0EGBRGJU1M,MAKE IT CHEAPER!,Price
A312KFQ78WB3A4,online chatting would be good,MoreFunc
A2I3Y0L38HMQLZ,good choice of arrangements,Range
A1KYGP10BH4FXU,you should keep up to date with fashion and diffrent types of designs on diffrent types of clothing&#44; you are one of the best shops that have nice products accesorises and clothing   thankyou!,Navigation
A2LV5QYHH24OMY,cheaper prices!!!!!!!!!!!!,Price
A312KFQ78WB3A4,its great,None
A2QN0EGBRGJU1M,To expensive,Price
A2LV5QYHH24OMY,lower the prices,Price
A312KFQ78WB3A4,discount codes every now and then would be nice,Price
A2LV5QYHH24OMY,POURRIEZ VOUS METTRE LA FRANCE COMME PAYS DANS LE FORMULAIRE D ACHAT,None
A2LV5QYHH24OMY,make things cheaper,Price
AVX3SWFMBEPMZ,it's great!,None
A2I3Y0L38HMQLZ,the layout is nice,Navigation
A2I3Y0L38HMQLZ,cheaper,Price
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,Page very  slow.,Latency
A2I3Y0L38HMQLZ,The goddamn login NEVER works.,Latency
A2I3Y0L38HMQLZ,the layout is nice,Navigation
A2QN0EGBRGJU1M,I have a problem now.,None
A2I3Y0L38HMQLZ,Give alerts when items back in to stock,Stock
A312KFQ78WB3A4,free delivery,Delivery
A312KFQ78WB3A4,However the website is well designed and easy to use!,Navigation
A2LV5QYHH24OMY,I dislike that your size guide doesnt give details for S M and L sizings so as to compare them to standard sizing (i.e.,Size
A3SWVCOJPJM7KQ,Lower prices,Price
A2LV5QYHH24OMY,very bad,None
A2QN0EGBRGJU1M,Allow the website to email people when items are back in stock,Stock|MoreFunc
A1KYGP10BH4FXU,All shoes need pictures on model's feet so you can see how they truly look,Images
A3MXBLYX2CDGTP,easy to navigate&#44; great pics,Images|Navigation
A312KFQ78WB3A4,everything,None
A2QN0EGBRGJU1M,free delivery needed,Delivery
A34M93NJC830DP,everything is too expensive,Price
A2I3Y0L38HMQLZ,I love the way there are a different range of offers&#44;,Range
A2QN0EGBRGJU1M,the save for later is a bit laggy,MoreFunc
A2I3Y0L38HMQLZ,It can be really annoying.,None
A2LV5QYHH24OMY,also would be good to see images of hats/glasses/jewellery on the people as well,Images|MoreFunc
A2LV5QYHH24OMY,nothing i,None
A312KFQ78WB3A4,But you can only tick one box to narrow your search&#44; i.e trainers,Navigation
A1KYGP10BH4FXU,Allow more time to explore the website before emptying the basket!,MoreFunc
A2QN0EGBRGJU1M,be oldskool,None
A2LV5QYHH24OMY,bit plain ain't it?!,Navigation
A2I3Y0L38HMQLZ,easy to use,Navigation
A2LV5QYHH24OMY,Make stuff affordable!,Price
A2LV5QYHH24OMY,lower the prices.,Price
A2I3Y0L38HMQLZ,cheaper prices please x,Price
AVX3SWFMBEPMZ,get cheaper,Price
A2LV5QYHH24OMY,cheaper prices,Price
A2LV5QYHH24OMY,perfect,None
A312KFQ78WB3A4,love it,None
A2I3Y0L38HMQLZ,PERU SHIPPING S.O.S,Delivery
A2LV5QYHH24OMY,get better shoes,Products
A2I3Y0L38HMQLZ,cheaper,Price
A2I3Y0L38HMQLZ,lower the international shipping rate,Delivery
A2I3Y0L38HMQLZ,20% off student discount on selected items a week :D,Price
A2LV5QYHH24OMY,Too expensive,Price
A1KYGP10BH4FXU,????????,None
A312KFQ78WB3A4,I love the choices...the bravery...,Range
A2LV5QYHH24OMY,very unique,None
A1KYGP10BH4FXU,Awesome!,None
A2LV5QYHH24OMY,I would like to see a better description of fabric.,MoreFunc
A2I3Y0L38HMQLZ,Easy to navigate and simple layout - doesn't need improvement!,Navigation
A2LV5QYHH24OMY,The prices.,Price
A2LV5QYHH24OMY,more outfit ideas.,MoreFunc
A2LV5QYHH24OMY,make the shoes cheaper,Price
A2LV5QYHH24OMY,size 6 8 10 AND 12 not just 8,Size
A2LV5QYHH24OMY,make things cheaper.,Price
A312KFQ78WB3A4,brilliant layout..easy access to all items,Navigation
A312KFQ78WB3A4,Lower your prices,Price
A2LV5QYHH24OMY,cheaper clothes,Price
A312KFQ78WB3A4,Lower your prices,Price
A2LV5QYHH24OMY,nothing,None
A1KYGP10BH4FXU,make prices cheaper,Price
A2LV5QYHH24OMY,great,None
A2I3Y0L38HMQLZ,make it all cheaper,Price
A312KFQ78WB3A4,the prices,Price
A34M93NJC830DP,easy to use.,Navigation
A2I3Y0L38HMQLZ,easy to use,Navigation
A2LV5QYHH24OMY,we liked it a lot it is a nice collection.,Range
A2LV5QYHH24OMY,i like the quality of product photos,Images
A312KFQ78WB3A4,it would be easier when you are searching for specific things to be able to select more than one option&#44; for example&#44; dresses and jackets,MoreFunc
A2LV5QYHH24OMY,lower price,Price
A2LV5QYHH24OMY,cheaper prices pls,Price
A2I3Y0L38HMQLZ,I like the way it is designed.,Navigation
A2LV5QYHH24OMY,lower delivery charges,Delivery
A312KFQ78WB3A4,I like how it is set out&#44; however&#44; you could have a wider range on clothes choice,Range|Navigation
A1KYGP10BH4FXU,display pictures need to be bigger:),Images
A2LV5QYHH24OMY,lower the prices pleeeeeeeeease!!!,Price
A182JW8U6PO60U,shutup,None
A2LV5QYHH24OMY,make it cheaper i cant afford anything,Price
A1KYGP10BH4FXU,larger images of garments,Images
A1KYGP10BH4FXU,Very good clothes,Products
A2LV5QYHH24OMY,get the original colours of the katz back in stock please :),Range
A2BWMYV8JU7RO4,Free shipping for every country would be great.,Delivery
A312KFQ78WB3A4,too expensive!!,Price
A2LV5QYHH24OMY,i dont like anything.,None
A2I3Y0L38HMQLZ,prices go down,Price
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,More pictures with models wearing the clothes and accessories.,Images|MoreFunc
A2LV5QYHH24OMY,cheaper prices pls,Price
A2I3Y0L38HMQLZ,thanks.,None
A312KFQ78WB3A4,make everything cheaper,Price
A2LV5QYHH24OMY,reduce your prices - £110 way to expensive for a simple viscose dress,Price
A2BWMYV8JU7RO4,YOU ARE SOOOO OVER PRICED!,Price
A2QN0EGBRGJU1M,cheaper clothes please...,Price
A2QN0EGBRGJU1M,stop showing comment boxes,MoreFunc
A2I3Y0L38HMQLZ,its really good!,None
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,in regard to browsing it's always easier to shop without leaving the main category's page.,Navigation
A312KFQ78WB3A4,the shipping too expensive.,Delivery
A2LV5QYHH24OMY,I like the new layout for online payment - it's easier to view and the various information is immediately apparent.,Navigation
A2QLSHXNCHBRN4,gt none this year.,None
A2LV5QYHH24OMY,Love the new save for later,Navigation
A2LV5QYHH24OMY,having a what to wear if you're a plus size section would make the site amazing!,MoreFunc
A312KFQ78WB3A4,i cannot find a top that i liked in the shop,Products
A312KFQ78WB3A4,FREE SHIPPING INTERNATIONALLY!!!!!,Delivery
A2LV5QYHH24OMY,i'm sorry,None
A15MK127K9F2DZ,Great site.,None
A2I3Y0L38HMQLZ,Easy to navigate around,Navigation
A2I3Y0L38HMQLZ,It would be better if you should the clothes on models with matching accessories ect.,Images
A2I3Y0L38HMQLZ,I like everything,None
A2LV5QYHH24OMY,lower the prices i cant afford anything & i can get the exact same stuff from primark that's where everyone is getting clothes.,Price
A2LV5QYHH24OMY,When I paid I didn't have to go through the Mastercard secure payment site.,Navigation
A2LV5QYHH24OMY,variety,Range
A1KYGP10BH4FXU,make the clothes cheaper,Price
A2LV5QYHH24OMY,cheaper xx,Price
A2LV5QYHH24OMY,reduce your prices,Price
A2I3Y0L38HMQLZ,shipping to chile !!!,Delivery
A2I3Y0L38HMQLZ,change the money into aussie,MoreFunc
A1KYGP10BH4FXU,make prices cheaper,Price
A2I3Y0L38HMQLZ,based,None
A2LV5QYHH24OMY,The site is easy to use and looks good,Navigation
A312KFQ78WB3A4,hello,None
A2I3Y0L38HMQLZ,cheaper,Price
A2I3Y0L38HMQLZ,so happy that you can now review the products and also locate if an item is in stock near me,Navigation|Stock
A2I3Y0L38HMQLZ,delivering to all other destinations except one EU member - SLOVENIA is ???,Delivery
A2LV5QYHH24OMY,I would like to have a wishlist function,MoreFunc
A2BWMYV8JU7RO4,make the price in USA instead of E.,MoreFunc
A2LV5QYHH24OMY,BIGGER BLOODY SIZES!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Size
A2LV5QYHH24OMY,I have no comment yet as this is the first time I have used your service.,None
A2LV5QYHH24OMY,everything!,None
A2I3Y0L38HMQLZ,Offering the price of the items in different currencies would be very helpful,MoreFunc
A2LV5QYHH24OMY,nothing,None
A312KFQ78WB3A4,reduce prices,Price
A2LV5QYHH24OMY,the speed that the ietms load up on page,Latency
A312KFQ78WB3A4,prices!,Price
A2LV5QYHH24OMY,please please please for the love of all things good on this earth lower your prices.,Price
A312KFQ78WB3A4,prices,Price
A2LV5QYHH24OMY,kkkkkk,None
A2LV5QYHH24OMY,I would like to be able to print my order confirmation,MoreFunc
A2LV5QYHH24OMY,price,Price
A2LV5QYHH24OMY,please add israel to your shipping destinations,Delivery
A312KFQ78WB3A4,Lower your prices,Price
A2I3Y0L38HMQLZ,make it faster,Latency
A2LV5QYHH24OMY,Free delivery please!,Delivery
A2LV5QYHH24OMY,which website?,None
A2LV5QYHH24OMY,Personally I would find it helpful if when a size is out of stock you can be informed as to when it will be next available or if it available in a store!,Stock|MoreFunc
A2LV5QYHH24OMY,prices - i would actually buy things if they were cheaper,Price
A312KFQ78WB3A4,lower your prices,Price
A2LV5QYHH24OMY,easy to navigate,Navigation
A2LV5QYHH24OMY,cheaper clothes!!!,Price
AVX3SWFMBEPMZ,like how you can save things from your shopping bag for later.,Navigation
A34M93NJC830DP,easy to use.,Navigation
A2LV5QYHH24OMY,Please start shipping to Malta!,Delivery
A2I3Y0L38HMQLZ,More green,Range
A2LV5QYHH24OMY,I like the layout,Navigation
A2I3Y0L38HMQLZ,Deliver to germany!,Delivery
A312KFQ78WB3A4,love the site,None
A312KFQ78WB3A4,cheap and cool clothes ;),Price|Products
A2I3Y0L38HMQLZ,i like the clothes,Products
A2I3Y0L38HMQLZ,be cheaper.,Price
A2I3Y0L38HMQLZ,Pretty well.!,None
A2I3Y0L38HMQLZ,Please reduce the prices so i can buy more even if it is like 5 pounds in differernce!!!!!!!!!!!!!!!!!!!!!!!!!,Price
A312KFQ78WB3A4,lower prices,Price
A2I3Y0L38HMQLZ,You could improve on your prices.,Price
A3E157ZN8XPUKJ,have a wish list so i can remember what i like and might want to buy and go back to them later:)x,MoreFunc
A2QN0EGBRGJU1M,i like it!,None
A2LV5QYHH24OMY,We would like to communicate with your estimated company if we would like to offer our quality of products specially Egyptian clothing is duty free in USA due to commercial treaty,Delivery
A2QN0EGBRGJU1M,The site is a little complicated..,Navigation
A2LV5QYHH24OMY,A contact number in the Customer Service will be raelly helpfull,MoreFunc
A312KFQ78WB3A4,make everything cheaper,Price
A2I3Y0L38HMQLZ,web site a bit slow,Latency
A2I3Y0L38HMQLZ,not a lot,None
A312KFQ78WB3A4,Hello,None
A2LV5QYHH24OMY,lower prices of maxi dresses,Price
A34M93NJC830DP,Please ship to Norway :),Delivery
A2LV5QYHH24OMY,photos need improving greatly.,Images|Navigation
A2LV5QYHH24OMY,I rather not want to see items which are already out of stock!!,Stock
A2LV5QYHH24OMY,nothing,None
A2I3Y0L38HMQLZ,Make everything cheaper,Price
A2LV5QYHH24OMY,cheaper next day delivery or free delivery (standard) when you spend 40-50 pound instead of £75,Delivery
A2LV5QYHH24OMY,the majority of the clothes are too expensive.,Price
A312KFQ78WB3A4,Well i think the site is fab just the way you have it easy to browse and understand.,Navigation
A15MK127K9F2DZ,it's good,None
A1KYGP10BH4FXU,I love that you have so many options and so many different styles.,Range
A2I3Y0L38HMQLZ,nothing!,None
AVX3SWFMBEPMZ,lower your prices!,Price
A2I3Y0L38HMQLZ,good choice of arrangements,Range
A2LV5QYHH24OMY,The website is perfect and i enjoy shopping and looking through the products,Navigation
A34M93NJC830DP,go away,None
A2LV5QYHH24OMY,You should tell your guest how to collocate,None
A2LV5QYHH24OMY,great,None
A1KYGP10BH4FXU,easy to navigate&#44; and always updated,Navigation
A2LV5QYHH24OMY,clear layout,Navigation
A312KFQ78WB3A4,lower your prices,Price
A2I3Y0L38HMQLZ,give me free stuff,None
A312KFQ78WB3A4,like te designe!,Navigation
A2I3Y0L38HMQLZ,So far I am just very happy to have found the Ash wedge sneaker.,Products
A312KFQ78WB3A4,prices,Price
A2LV5QYHH24OMY,lower the prices,Price
A2LV5QYHH24OMY,awesome,None
A2LV5QYHH24OMY,Please start delivering to Croatia so I can finally buy all the stuff I want from you on line.,Delivery
A2QN0EGBRGJU1M,Have two of the same coulour converses!,Range
A312KFQ78WB3A4,reduce prices,Price
A34M93NJC830DP,i like it,None
A15MK127K9F2DZ,Cheaper prices,Price
A2LV5QYHH24OMY,You would get fewer returns and happier customers - of that I'm sure.,None
A2LV5QYHH24OMY,it would be an awesome shop if you get free shipping and lower the price!!,Delivery|Price
A2LV5QYHH24OMY,It'd be great if the credit card payment process could be easier.,MoreFunc
A312KFQ78WB3A4,Lower your prices,Price
A34M93NJC830DP,easy to use.,Navigation
A2I3Y0L38HMQLZ,Please improve your tall range,Range
A2I3Y0L38HMQLZ,Your site is too slow and keeps crashing!,Latency
AVX3SWFMBEPMZ,i love your clothes,Products
A2I3Y0L38HMQLZ,put together more collections,MoreFunc
A2LV5QYHH24OMY,it is very good,None
A2LV5QYHH24OMY,be cheaper,Price
A1KYGP10BH4FXU,i love everything,Navigation
A312KFQ78WB3A4,reduce prices,Price
A2LV5QYHH24OMY,you could make it cheaper lol,Price
A2I3Y0L38HMQLZ,i wish it was in euros,MoreFunc
A312KFQ78WB3A4,too expensive,Price
A2LV5QYHH24OMY,Everything is too expensive can you make it any cheaper?!,Price
A312KFQ78WB3A4,make everything cheaper,Price
A2LV5QYHH24OMY,nothing,None
A312KFQ78WB3A4,it would be easier when you are searching for specific things to be able to select more than one option&#44; for example&#44; dresses and jackets,MoreFunc
A2LV5QYHH24OMY,the prices is quit high..,Price
A2QN0EGBRGJU1M,your website is very slow !!!!!!!!!!!!!,Latency
A34M93NJC830DP,You have lots of nice clothes- a bit out of my price range perhaps-,Price|Products
A1KYGP10BH4FXU,free delivery for europe countries just like -asos-,Delivery
A2LV5QYHH24OMY,It's easy to use,Navigation
A182JW8U6PO60U,knock the prices down,Price
A2LV5QYHH24OMY,prices - i would actually buy things if they were cheaper,Price
A2LV5QYHH24OMY,Nothing is required,None
A2I3Y0L38HMQLZ,More cheaper shipping cost!,Delivery
A1KYGP10BH4FXU,speed,Latency
A2I3Y0L38HMQLZ,none very good,None
A2I3Y0L38HMQLZ,more sales,Price
A312KFQ78WB3A4,lower prices,Price
A2I3Y0L38HMQLZ,allow student discount :),Price
A2I3Y0L38HMQLZ,have the clothes cheaper.!!!!,Price
A2LV5QYHH24OMY,Not separately.,None
A312KFQ78WB3A4,lower prices,Price
A1KYGP10BH4FXU,pretty easy to navigate around.,Navigation
A2LV5QYHH24OMY,CHEAPER PRICES,Price
A2LV5QYHH24OMY,If we don't know what we as a customer are particularly wanting it is sometimes easier to say what we don't want.,None
A2I3Y0L38HMQLZ,It would be nice if a copy of my order could be sent to my e-mail.,MoreFunc
A312KFQ78WB3A4,Free delivery would be great!,Delivery
A2I3Y0L38HMQLZ,cheaper,Price
A2LV5QYHH24OMY,Thank you for updating the images of clothes with the real people!,Images|Navigation
A2LV5QYHH24OMY,stop asking me to saying stuff and get rid of this ruddy box!!!!!!!,Navigation
A2I3Y0L38HMQLZ,be cheaper please,Price
A2LV5QYHH24OMY,You need to get more stock!,Stock
A2I3Y0L38HMQLZ,more maternity clothes and maternity tights please!,Range
A312KFQ78WB3A4,i like the layout,Navigation
A2I3Y0L38HMQLZ,Nothing ...,None
A2LV5QYHH24OMY,Free Delivery,Delivery
A2I3Y0L38HMQLZ,LOWER YOUR PRICE,Price
A2I3Y0L38HMQLZ,make it look more colourful and lively instead of dull,Navigation
AVX3SWFMBEPMZ,nuttin.,None
A2I3Y0L38HMQLZ,easy to use,Navigation
A2I3Y0L38HMQLZ,too slow!,Latency
A2I3Y0L38HMQLZ,I like how easy it is to navigate around the website.,Navigation
A1KYGP10BH4FXU,your clothes are lovely just wish i had the money to buy your products,Products
A2LV5QYHH24OMY,flop !!!!,None
A2I3Y0L38HMQLZ,cheaper,Price
A2LV5QYHH24OMY,france,None
A2LV5QYHH24OMY,Make stuff affordable!,Price
A2LV5QYHH24OMY,nothing,None
A312KFQ78WB3A4,everything,None
A1KYGP10BH4FXU,Forgot your password takes too long to come through to email account,None
A312KFQ78WB3A4,too expensive,Price
A2I3Y0L38HMQLZ,bring back clothing from past months/years and sell it again,Range
A2LV5QYHH24OMY,its very well laid out,Navigation
A2LV5QYHH24OMY,lower the price.,Price
A2I3Y0L38HMQLZ,i dont think you could change anything!!!!,None
A312KFQ78WB3A4,cheaper clothes please xoxoxoxx,Price
A2LV5QYHH24OMY,Improve your customer service!!!!!!!!,None
A2LV5QYHH24OMY,price!,Price
A312KFQ78WB3A4,Your site is so easy to navigate and is very easy on the eye.,Navigation
A312KFQ78WB3A4,lower your prices,Price
A1KYGP10BH4FXU,a bit expensive,Price
A2LV5QYHH24OMY,make your stuff cheaper.,Price
A2LV5QYHH24OMY,more student discount!!,Price
A2I3Y0L38HMQLZ,lower prices xxx,Price
A2I3Y0L38HMQLZ,your bank payment section is annoyingly slow,Latency
A2LV5QYHH24OMY,Make delivery free to UK in stores to be collected.,Delivery
A2LV5QYHH24OMY,when site is closed keep items in bag,MoreFunc
A312KFQ78WB3A4,everything,None
A2LV5QYHH24OMY,nothing,None
